annual population survey
ONS Crown Copyright Reserved [from Nomis on 26 July 2023]
"Analysis   :,""variable"""
"Confidence :,""95% confidence interval of percent figure (+/-)"""
"Date       :,""Jan 2018-Dec 2018"""

"local authority: district / unitary (as of April 2021),""mnemonic"",""Numerator"",""Denominator"",""Economic activity rate - aged 16+"",""Conf"""

"Barking and Dagenham,""E09000002"",100300,156600,64.0,4.0"
"Barnet,""E09000003"",202200,314000,64.4,3.8"
"Bexley,""E09000004"",127700,195100,65.5,3.7"
"Brent,""E09000005"",169200,246300,68.7,3.8"
"Bromley,""E09000006"",172600,261900,65.9,3.8"
"Camden,""E09000007"",143600,215700,66.6,4.0"
"City of London,""E09000001"",6400,8200,78.0,""*"""
"Croydon,""E09000008"",207800,297000,70.0,3.7"
"Ealing,""E09000009"",183600,274300,66.9,4.6"
"Enfield,""E09000010"",164900,261000,63.2,4.1"
"Greenwich,""E09000011"",151900,226000,67.2,3.9"
"Hackney,""E09000012"",152800,218300,70.0,3.8"
"Hammersmith and Fulham,""E09000013"",105600,144900,72.9,3.9"
"Haringey,""E09000014"",156400,221400,70.6,3.5"
"Harrow,""E09000015"",129300,190800,67.8,3.6"
"Havering,""E09000016"",138400,209300,66.2,3.6"
"Hillingdon,""E09000017"",159800,236200,67.7,3.7"
"Hounslow,""E09000018"",152400,218500,69.7,4.8"
"Islington,""E09000019"",147300,206800,71.2,3.9"
"Kensington and Chelsea,""E09000020"",73800,129000,57.2,4.0"
"Kingston upon Thames,""E09000021"",96600,142900,67.6,3.9"
"Lambeth,""E09000022"",205700,269500,76.3,3.8"
"Lewisham,""E09000023"",177800,239600,74.2,3.7"
"Merton,""E09000024"",121400,168000,72.3,3.9"
"Newham,""E09000025"",182200,268500,67.8,4.3"
"Redbridge,""E09000026"",149400,235700,63.4,3.5"
"Richmond upon Thames,""E09000027"",108300,155000,69.9,4.0"
"Southwark,""E09000028"",198000,256100,77.3,3.4"
"Sutton,""E09000029"",111800,158500,70.5,3.7"
"Tower Hamlets,""E09000030"",178500,246000,72.6,4.3"
"Waltham Forest,""E09000031"",154600,210700,73.4,3.9"
"Wandsworth,""E09000032"",201000,265100,75.8,3.7"
"Westminster,""E09000033"",130300,203000,64.2,4.1"
"Column Total,""Column Total"",4861400,7049800,69.0,0.7"


"*,""Estimate and confidence interval unreliable since the group sample size is"""
",""small (3-9)"""
