
"annual population survey"
"ONS Crown Copyright Reserved [from Nomis on 26 July 2023]"
"Analysis   :","variable"
"Confidence :","95% confidence interval of percent figure (+/-)"
"Date       :","Jan 2017-Dec 2017"

"local authority: district / unitary (as of April 2021)","mnemonic","Numerator","Denominator","% in employment who are employees - aged 16+","Conf","Numerator","Denominator","% in employment who are self employed - aged 16+","Conf"

"Barking and Dagenham","E09000002",74500,91300,81.5,4.0,16600,91300,18.2,4.0
"Barnet","E09000003",147600,193500,76.3,4.3,45100,193500,23.3,4.3
"Bexley","E09000004",104600,122300,85.5,3.4,17100,122300,13.9,3.3
"Brent","E09000005",117900,156100,75.5,4.0,37400,156100,23.9,4.0
"Bromley","E09000006",135800,162900,83.4,3.7,26600,162900,16.3,3.7
"Camden","E09000007",92800,127500,72.8,4.7,33100,127500,25.9,4.7
"City of London","E09000001",6000,8000,75.1,"*",2000,8000,24.9,"*"
"Croydon","E09000008",151400,189400,80.0,3.7,36800,189400,19.4,3.7
"Ealing","E09000009",142800,178800,79.9,4.3,36000,178800,20.1,4.3
"Enfield","E09000010",128000,151700,84.4,3.9,22700,151700,15.0,3.9
"Greenwich","E09000011",120700,141400,85.3,3.6,20100,141400,14.2,3.6
"Hackney","E09000012",124000,148400,83.5,3.8,24100,148400,16.3,3.8
"Hammersmith and Fulham","E09000013",80100,103800,77.2,4.7,22200,103800,21.4,4.5
"Haringey","E09000014",98400,134000,73.4,4.1,34200,134000,25.5,4.1
"Harrow","E09000015",98500,129500,76.1,4.2,30700,129500,23.7,4.2
"Havering","E09000016",105100,124300,84.6,3.6,18900,124300,15.2,3.6
"Hillingdon","E09000017",119700,149800,79.9,4.0,29800,149800,19.9,4.0
"Hounslow","E09000018",114900,136500,84.2,4.2,20800,136500,15.3,4.1
"Islington","E09000019",109600,138300,79.3,4.1,27600,138300,19.9,4.1
"Kensington and Chelsea","E09000020",51900,75600,68.6,5.2,23300,75600,30.8,5.2
"Kingston upon Thames","E09000021",73700,90300,81.6,4.0,16600,90300,18.4,4.0
"Lambeth","E09000022",167300,199800,83.7,4.2,32100,199800,16.0,4.2
"Lewisham","E09000023",139700,174700,80.0,4.0,33200,174700,19.0,3.9
"Merton","E09000024",88700,113600,78.1,4.5,23600,113600,20.8,4.4
"Newham","E09000025",138700,169900,81.6,4.2,31200,169900,18.4,4.2
"Redbridge","E09000026",111600,142700,78.2,3.8,30300,142700,21.2,3.8
"Richmond upon Thames","E09000027",74200,99100,74.8,4.5,24900,99100,25.2,4.5
"Southwark","E09000028",149900,184200,81.4,3.8,32900,184200,17.9,3.7
"Sutton","E09000029",87900,106800,82.4,3.9,17300,106800,16.2,3.8
"Tower Hamlets","E09000030",120500,141300,85.2,4.1,19300,141300,13.7,3.9
"Waltham Forest","E09000031",115600,145700,79.4,4.1,30100,145700,20.6,4.1
"Wandsworth","E09000032",154600,187600,82.4,4.1,32000,187600,17.1,4.1
"Westminster","E09000033",90200,113400,79.5,4.4,22700,113400,20.0,4.4
"Column Total","Column Total",3636900,4532200,80.2,0.7,871100,4532200,19.2,0.7


"*","Estimate and confidence interval unreliable since the group sample size is"
"","small (3-9)"

