
"annual population survey"
"ONS Crown Copyright Reserved [from Nomis on 27 July 2023]"
"Analysis   :","variable"
"Confidence :","95% confidence interval of percent figure (+/-)"
"Date       :","Jan 2019-Dec 2019"

"local authority: district / unitary (as of April 2021)","mnemonic","Numerator","Denominator","% with NVQ4+ - aged 16-64","Conf","Numerator","Denominator","% with NVQ3 only - aged 16-64","Conf","Numerator","Denominator","% with NVQ2 only - aged 16-64","Conf","Numerator","Denominator","% with NVQ1 only - aged 16-64","Conf","Numerator","Denominator","% with other qualifications (NVQ) - aged 16-64","Conf","Numerator","Denominator","% with no qualifications (NVQ) - aged 16-64","Conf"

"Barking and Dagenham","E09000002",45300,136900,33.1,7.3,17400,136900,12.7,5.2,23200,136900,17.0,5.8,16200,136900,11.8,5.0,20600,136900,15.1,5.6,11400,136900,8.3,4.3
"Barnet","E09000003",137600,258700,53.2,7.8,39500,258700,15.3,5.6,30000,258700,11.6,5.0,7700,258700,3.0,2.7,29900,258700,11.6,5.0,12800,258700,4.9,3.4
"Bexley","E09000004",55200,155400,35.5,6.8,29200,155400,18.8,5.5,32400,155400,20.8,5.8,14200,155400,9.1,4.1,10400,155400,6.7,3.6,9400,155400,6.1,3.4
"Brent","E09000005",105000,220100,47.7,8.9,36100,220100,16.4,6.6,32300,220100,14.7,6.3,7000,220100,3.2,3.1,21600,220100,9.8,5.3,15600,220100,7.1,4.6
"Bromley","E09000006",113300,209400,54.1,7.0,32400,209400,15.4,5.1,24000,209400,11.5,4.5,15400,209400,7.3,3.6,13200,209400,6.3,3.4,8000,209400,3.8,2.7
"Camden","E09000007",113000,185600,60.9,7.6,17300,185600,9.3,4.5,15000,185600,8.1,4.3,12000,185600,6.5,3.9,14200,185600,7.6,4.2,12500,185600,6.7,3.9
"City of London","E09000001",8500,8500,100.0,-,"!",8500,"!","!","!",8500,"!","!","!",8500,"!","!","!",8500,"!","!","!",8500,"!","!"
"Croydon","E09000008",107400,250200,42.9,6.8,39700,250200,15.9,5.0,39000,250200,15.6,5.0,23600,250200,9.4,4.0,19900,250200,8.0,3.7,18800,250200,7.5,3.6
"Ealing","E09000009",130000,221300,58.7,8.6,19600,221300,8.9,5.0,16800,221300,7.6,4.7,11600,221300,5.3,3.9,23500,221300,10.6,5.4,18000,221300,8.1,4.8
"Enfield","E09000010",87600,219000,40.0,8.0,36300,219000,16.6,6.1,32500,219000,14.8,5.8,20300,219000,9.3,4.7,28700,219000,13.1,5.5,10300,219000,4.7,3.5
"Greenwich","E09000011",97100,195300,49.7,7.1,28000,195300,14.3,5.0,22000,195300,11.3,4.5,14800,195300,7.6,3.7,17500,195300,9.0,4.0,12900,195300,6.6,3.5
"Hackney","E09000012",118400,206300,57.4,7.2,21500,206300,10.4,4.4,17700,206300,8.6,4.1,12800,206300,6.2,3.5,11400,206300,5.5,3.3,22300,206300,10.8,4.5
