
"annual population survey"
"ONS Crown Copyright Reserved [from Nomis on 27 July 2023]"
"Analysis   :","variable"
"Confidence :","95% confidence interval of percent figure (+/-)"
"Date       :","Jan 2019-Dec 2019"

"local authority: district / unitary (as of April 2021)","mnemonic","Numerator","Denominator","% in employment working part-time - aged 16-19","Conf","Numerator","Denominator","% in employment working part-time - aged 20-24","Conf","Numerator","Denominator","% in employment working part-time - aged 25-49","Conf","Numerator","Denominator","% in employment working part-time - aged 50+","Conf"

"Barking and Dagenham","E09000002",2400,4600,52.0,"*",1500,7100,21.0,"*",15300,60300,25.4,6.4,6300,26300,24.0,9.2
"Barnet","E09000003",1800,3000,60.9,"*",3800,17800,21.6,"*",21300,117900,18.1,5.7,25100,64900,38.7,9.2
"Bexley","E09000004",1300,2800,46.6,"*",2200,9700,22.5,"*",12800,72000,17.8,5.1,12400,37800,32.8,8.3
"Brent","E09000005",2300,2300,100.0,-,3800,9400,40.5,"*",18200,111200,16.3,6.1,12500,42600,29.3,11.0
"Bromley","E09000006",4000,4500,89.9,18.7,4500,12400,36.6,"*",17800,105800,16.9,4.8,13400,48700,27.4,7.8
"Camden","E09000007","!",1700,"!","!",4200,8500,49.1,"*",15400,80800,19.1,6.1,16100,44900,35.9,9.2
"City of London","E09000001","!","!","!",-,"!","!","!",-,"!","#","!","!","!","#","!","!"
"Croydon","E09000008",5000,5800,86.2,18.8,4200,13700,31.0,"*",24400,122800,19.8,4.9,19300,56200,34.4,8.8
"Ealing","E09000009","!","!","!",-,4500,17300,26.3,"*",15400,95300,16.2,6.3,14600,52400,27.8,9.9
"Enfield","E09000010",2400,3200,76.5,"*","!",7200,"!","!",20300,89600,22.7,6.8,14400,51000,28.2,9.2
"Greenwich","E09000011",1200,2700,44.6,"*",5000,9200,54.2,22.4,14800,98500,15.0,4.6,9000,43200,20.8,7.5
"Hackney","E09000012",1800,2200,81.6,"*",5000,10800,46.2,21.3,18400,109800,16.8,5.0,8900,28000,31.8,10.0
"Hammersmith and Fulham","E09000013","!","!","!",-,"!",5800,"!","!",7100,70400,10.1,4.6,5800,22100,26.4,9.8
"Haringey","E09000014",1300,1800,72.8,"*",2700,9300,28.4,"*",20600,106000,19.4,5.3,14400,38300,37.4,9.4
"Harrow","E09000015","!",1500,"!","!",2100,5600,36.6,"*",14000,75300,18.6,6.2,7600,30400,24.9,10.2
"Havering","E09000016",1700,2400,70.3,"*",3500,11100,31.6,"*",13300,75300,17.6,5.1,12500,37800,33.2,8.2
"Hillingdon","E09000017","#",2900,58.5,"*","!",12300,"!","!",20200,95900,21.1,6.2,8300,37200,22.4,9.4
"Hounslow","E09000018","!","!","!","!","!",9500,"!","!",12100,83000,14.5,6.4,12100,42000,28.8,10.6
"Islington","E09000019","!",1800,"!","!",3300,12000,27.4,"*",16600,96400,17.3,5.3,8700,30900,28.1,9.3
"Kensington and Chelsea","E09000020","!","!","!","!",2800,5800,49.1,"*",7800,41800,18.7,6.5,6100,23000,26.6,8.5
"Kingston upon Thames","E09000021",2300,2900,79.7,"*",1300,5800,22.2,"*",9600,60700,15.8,5.0,8900,26800,33.2,9.4
"Lambeth","E09000022","!",1600,"!","!",6200,19900,31.1,15.8,19400,140300,13.8,4.3,9500,33200,28.8,10.8
"Lewisham","E09000023",1100,1100,100.0,-,5500,15400,36.0,"*",18900,122800,15.4,4.4,8200,35000,23.5,8.9
"Merton","E09000024",2300,2600,90.8,"*",1200,5900,20.8,"*",12200,76100,16.0,4.4,6600,29900,22.2,8.0
"Newham","E09000025",1800,2600,69.9,"*",4400,14900,29.3,"*",21200,136900,15.5,5.1,7600,28000,27.0,12.1
"Redbridge","E09000026",2800,2800,100.0,-,4800,9400,51.6,21.9,19300,96000,20.2,5.2,10700,40700,26.3,8.4
"Richmond upon Thames","E09000027",1400,2000,69.5,"*",3000,6800,44.6,"*",9400,59500,15.9,5.3,14300,40400,35.5,8.5
"Southwark","E09000028",2400,2900,84.7,"*",6000,14700,40.9,19.3,30200,126900,23.8,5.4,13100,40400,32.5,9.7
"Sutton","E09000029",1100,1800,63.6,"*",1800,5800,30.8,"*",12800,66800,19.2,4.8,12600,32600,38.6,8.4
"Tower Hamlets","E09000030","!","!","!",-,"#",22000,9.1,"*",16800,130600,12.8,4.6,4400,17100,25.5,13.9
"Waltham Forest","E09000031","!","!","!",-,1800,11200,15.8,"*",15500,99800,15.6,5.3,8000,33200,24.1,10.2
"Wandsworth","E09000032",3000,3000,100.0,-,2400,9500,25.6,"*",19400,148800,13.0,4.3,14600,36900,39.5,11.5
"Westminster","E09000033","!","!","!",-,"!",6100,"!","!",8900,90000,9.9,4.6,11300,30500,37.1,10.7
"Column Total","Column Total",52500,71300,73.7,6.7,98100,341800,28.7,3.6,519500,3069100,16.9,0.9,359100,1187100,30.3,1.7


"#","These figures are suppressed as statistically unreliable"

"!","Estimate and confidence interval not available since the group sample size"
"","is zero or disclosive (0-2)"

"*","Estimate and confidence interval unreliable since the group sample size is"
"","small (3-9)"

"-","These figures are missing."

