
"annual population survey"
"ONS Crown Copyright Reserved [from Nomis on 26 July 2023]"
"Analysis   :","variable"
"Confidence :","95% confidence interval of percent figure (+/-)"
"Date       :","Jan 2016-Dec 2016"

"local authority: district / unitary (as of April 2021)","mnemonic","Numerator","Denominator","% in employment working part-time - aged 16-19","Conf","Numerator","Denominator","% in employment working part-time - aged 20-24","Conf","Numerator","Denominator","% in employment working part-time - aged 25-49","Conf","Numerator","Denominator","% in employment working part-time - aged 50+","Conf"

"Barking and Dagenham","E09000002","!",1800,"!","!",2000,6000,34.1,"*",14800,57700,25.7,5.5,6100,24200,25.3,8.1
"Barnet","E09000003",2900,2900,100.0,-,"!",10000,"!","!",24300,114100,21.3,5.4,11700,54200,21.6,7.4
"Bexley","E09000004",3700,5100,73.9,23.0,1700,9200,19.0,"*",14000,73100,19.2,5.3,12900,38500,33.6,8.3
"Brent","E09000005",2600,3400,78.6,"*",3000,13700,22.0,"*",22500,102800,21.9,4.7,9800,36200,27.0,7.9
"Bromley","E09000006",2400,3200,75.0,"*",1600,12400,12.9,"*",22100,103100,21.4,5.0,12300,43400,28.4,7.9
"Camden","E09000007","!",800,"!","!",2800,4900,57.5,"*",12600,88200,14.3,4.5,12500,32900,38.0,9.0
"City of London","E09000001","!","!","!",-,"!","!","!",-,"!",3500,"!","!","!","!","!","!"
"Croydon","E09000008",2800,5500,50.3,"*",3200,12300,25.7,"*",25100,121600,20.6,4.9,16300,56500,28.8,7.4
"Ealing","E09000009",1100,1100,100.0,-,3300,14600,22.7,"*",24900,114600,21.7,5.0,11400,41800,27.2,8.2
"Enfield","E09000010",4500,5000,89.5,"*",3200,9000,35.6,"*",25900,95500,27.1,6.0,11600,43000,27.1,8.7
"Greenwich","E09000011",3000,4000,75.9,"*",3200,11600,27.8,"*",15600,88100,17.7,5.3,8800,34100,25.7,9.2
"Hackney","E09000012",3100,3600,86.2,19.5,2400,7900,30.3,"*",26400,101400,26.0,5.3,7000,24400,28.7,9.9
"Hammersmith and Fulham","E09000013",600,600,100.0,-,2500,6800,36.8,18.2,13500,77800,17.3,4.8,6600,17100,38.6,10.3
"Haringey","E09000014",2000,2500,80.2,"*",4100,12000,34.5,18.6,20700,99000,20.9,4.7,10900,31400,34.7,8.3
"Harrow","E09000015",1300,1600,77.5,"*",3800,8400,45.4,"*",11000,77300,14.2,4.6,12300,32900,37.4,8.8
"Havering","E09000016",1100,2500,45.5,"*",1200,13500,9.2,"*",13100,74300,17.6,5.3,13800,39900,34.7,8.5
"Hillingdon","E09000017",3700,4800,76.5,"*",4800,11600,41.1,"*",14900,90600,16.4,5.0,11500,46200,24.8,7.7
"Hounslow","E09000018",2300,2600,86.6,"*",2300,11800,19.6,"*",19400,88000,22.1,5.9,6000,33200,18.2,8.7
"Islington","E09000019",1200,1500,79.8,"*",5800,11700,49.7,20.9,11200,85500,13.1,4.4,6800,25700,26.4,9.3
"Kensington and Chelsea","E09000020","!",700,"!","!",900,2200,39.8,"*",8600,50200,17.2,5.2,8400,23600,35.6,7.8
"Kingston upon Thames","E09000021",2000,2900,70.6,"*",2900,8800,32.3,"*",12700,50900,24.9,6.3,10000,25800,38.6,9.1
"Lambeth","E09000022","!",2000,"!","!",2500,16200,15.2,"*",18400,144300,12.7,4.6,10200,36200,28.2,10.9
"Lewisham","E09000023",2400,3600,65.4,"*",3500,12800,27.0,"*",18600,109200,17.0,4.8,10000,32700,30.6,9.5
"Merton","E09000024",1000,1000,100.0,-,3000,11700,25.6,"*",14900,71100,20.9,5.4,7100,24900,28.6,9.2
"Newham","E09000025","!",1000,"!","!",4300,21100,20.5,"*",19200,128000,15.0,4.1,6500,24100,27.0,10.5
"Redbridge","E09000026","!",1000,"!","!",3500,14600,23.7,"*",20500,94000,21.8,4.8,9700,37600,25.8,7.5
"Richmond upon Thames","E09000027","!",1500,"!","!","!",6000,"!","!",13200,63000,21.0,5.6,12400,35700,34.6,8.1
"Southwark","E09000028",1500,1900,78.3,"*",7500,13900,53.8,20.4,22900,123500,18.6,4.7,9100,34100,26.6,8.7
"Sutton","E09000029",2500,3800,66.5,"*",1600,6200,25.7,"*",14100,66000,21.3,5.5,8600,29700,29.0,8.1
"Tower Hamlets","E09000030","!",1300,"!","!",7200,19200,37.8,17.1,21100,114200,18.4,5.0,4700,19100,24.6,12.3
"Waltham Forest","E09000031",1500,3000,50.3,"*",1700,11100,15.0,"*",17500,98000,17.9,5.2,4900,27400,17.7,9.3
"Wandsworth","E09000032",1400,1400,100.0,-,2400,12600,18.7,"*",16900,142200,11.9,4.1,8300,32700,25.5,10.1
"Westminster","E09000033",1000,1000,100.0,-,2900,9800,29.6,16.1,8700,77000,11.3,4.2,8900,31400,28.2,8.0
"Column Total","Column Total",56200,78400,71.7,6.0,96600,353300,27.3,3.2,559200,2988000,18.7,0.9,307600,1072000,28.7,1.5


"!","Estimate and confidence interval not available since the group sample size"
"","is zero or disclosive (0-2)"

"*","Estimate and confidence interval unreliable since the group sample size is"
"","small (3-9)"

"-","These figures are missing."

