
"annual population survey"
"ONS Crown Copyright Reserved [from Nomis on 26 July 2023]"
"Analysis   :","variable"
"Confidence :","95% confidence interval of percent figure (+/-)"
"Date       :","Jan 2016-Dec 2016"

"local authority: district / unitary (as of April 2021)","mnemonic","Numerator","Denominator","% in employment who are employees - aged 16+","Conf","Numerator","Denominator","% in employment who are self employed - aged 16+","Conf"

"Barking and Dagenham","E09000002",76700,89700,85.5,3.5,12800,89700,14.3,3.5
"Barnet","E09000003",137900,181200,76.1,4.4,42100,181200,23.2,4.4
"Bexley","E09000004",107500,125700,85.5,3.6,17400,125700,13.9,3.5
"Brent","E09000005",124000,156100,79.5,3.7,31600,156100,20.2,3.7
"Bromley","E09000006",129300,162100,79.7,3.9,31600,162100,19.5,3.8
"Camden","E09000007",93900,126800,74.1,4.5,31600,126800,24.9,4.5
"City of London","E09000001",3500,4900,72.2,"*","!",4900,"!","!"
"Croydon","E09000008",160700,195900,82.0,3.6,35200,195900,18.0,3.6
"Ealing","E09000009",127300,172100,73.9,4.3,44900,172100,26.1,4.3
"Enfield","E09000010",121300,152400,79.5,4.3,29300,152400,19.2,4.2
"Greenwich","E09000011",117400,137800,85.2,3.9,19600,137800,14.2,3.8
"Hackney","E09000012",112300,137400,81.8,3.9,24400,137400,17.8,3.9
"Hammersmith and Fulham","E09000013",83000,102300,81.1,4.1,18400,102300,18.0,4.0
"Haringey","E09000014",111800,144800,77.2,3.9,31700,144800,21.9,3.8
"Harrow","E09000015",94100,120200,78.2,4.2,25900,120200,21.5,4.2
"Havering","E09000016",107000,130200,82.1,4.0,22000,130200,16.9,3.9
"Hillingdon","E09000017",131500,153200,85.9,3.6,21700,153200,14.1,3.6
"Hounslow","E09000018",108100,135600,79.8,4.6,26600,135600,19.6,4.6
"Islington","E09000019",101800,124300,81.9,4.1,21500,124300,17.3,4.0
"Kensington and Chelsea","E09000020",53300,76600,69.6,4.7,22900,76600,29.9,4.7
"Kingston upon Thames","E09000021",71200,88400,80.5,4.3,16700,88400,18.9,4.2
"Lambeth","E09000022",164600,198700,82.8,4.4,32500,198700,16.4,4.3
"Lewisham","E09000023",131600,158300,83.2,3.9,26100,158300,16.5,3.8
"Merton","E09000024",88500,108700,81.4,4.1,19400,108700,17.8,4.0
"Newham","E09000025",139000,174200,79.8,3.9,34400,174200,19.8,3.9
"Redbridge","E09000026",114900,147300,78.0,3.8,31500,147300,21.4,3.8
"Richmond upon Thames","E09000027",78300,106100,73.8,4.6,27500,106100,25.9,4.5
"Southwark","E09000028",142200,173400,82.0,3.8,29800,173400,17.2,3.7
"Sutton","E09000029",86700,105700,82.0,4.0,19000,105700,18.0,4.0
"Tower Hamlets","E09000030",132500,153800,86.2,3.8,19900,153800,12.9,3.7
"Waltham Forest","E09000031",109700,139500,78.6,4.7,28200,139500,20.2,4.6
"Wandsworth","E09000032",155100,188900,82.1,4.1,33800,188900,17.9,4.1
"Westminster","E09000033",94500,119300,79.2,4.1,24200,119300,20.3,4.1
"Column Total","Column Total",3611300,4491700,80.4,0.7,855300,4491700,19.0,0.7


"!","Estimate and confidence interval not available since the group sample size"
"","is zero or disclosive (0-2)"

"*","Estimate and confidence interval unreliable since the group sample size is"
"","small (3-9)"

