borough_name,borough_code,% of all people aged 16+ who are female,% of all people aged 16+ who are male
Camden,E09000007,48.7,51.3
City of London,E09000001,46.4,53.6
Hackney,E09000012,50.5,49.5
Hammersmith and Fulham,E09000013,49.2,50.8
Islington,E09000019,50.0,50.0
Kensington and Chelsea,E09000020,49.7,50.3
Lambeth,E09000022,48.9,51.1
Newham,E09000025,46.1,53.9
Southwark,E09000028,50.2,49.8
Tower Hamlets,E09000030,47.7,52.3
Wandsworth,E09000032,54.2,45.8
Westminster,E09000033,49.0,51.0
