borough_name,borough_code,Unemployment rate - aged 16+
Camden,E09000007,5.6
City of London,E09000001,
Hackney,E09000012,4.4
Hammersmith and Fulham,E09000013,3.7
Islington,E09000019,4.2
Kensington and Chelsea,E09000020,5.4
Lambeth,E09000022,5.9
Newham,E09000025,4.9
Southwark,E09000028,4.1
Tower Hamlets,E09000030,4.0
Wandsworth,E09000032,4.4
Westminster,E09000033,4.8
