bike_station_name,station_longitude,station_latitude,number_of_bikes,number_empty_docks,number_of_docks,number_standard_bikes,number_ebikes,bike_station_id
"Farm Street, Mayfair",-0.147449,51.509351,1,14,15,1,0,382
"Frith Street, Soho",-0.131213,51.513103,0,18,18,0,0,383
"Marloes Road, Kensington",-0.192404,51.496481,9,6,15,9,0,384
"Moor Street, Soho",-0.13011,51.513527,1,15,16,0,1,386
"Fire Brigade Pier, Vauxhall",-0.121394,51.493699,19,11,30,19,0,387
"Upper Grosvenor Street, Mayfair",-0.155757,51.51013,0,18,18,0,0,389
"Buxton Street 1, Shoreditch",-0.068856,51.521776,21,20,41,21,0,390
"Clifford Street, Mayfair",-0.142345,51.510662,0,17,17,0,0,391
"Imperial College, Knightsbridge",-0.179702,51.499428,0,21,21,0,0,392
"Snow Hill, Farringdon",-0.103604,51.517334,1,14,15,1,0,393
"Aberdeen Place, St. John's Wood",-0.176268,51.524826,18,0,18,18,0,394
"Cadogan Gardens, Chelsea",-0.159919,51.492462,6,9,15,6,0,395
"Shouldham Street, Marylebone",-0.163609,51.51809,5,11,16,5,0,396
"Devonshire Terrace, Bayswater",-0.17977,51.51348,16,0,16,16,0,397
"Holland Park, Kensington",-0.200742,51.502319,3,27,30,3,0,398
"Brick Lane Market, Shoreditch",-0.071653,51.522617,4,20,24,4,0,399
"George Street, Marylebone",-0.154106,51.517703,1,26,27,1,0,400
"Columbia Road, Shoreditch",-0.075375,51.528187,8,16,24,7,1,401
"Penfold Street, Marylebone",-0.171681,51.522892,10,5,15,10,0,402
"George Place Mews, Marylebone",-0.158249,51.516892,1,15,16,1,0,403
"Palace Gate, Kensington Gardens",-0.1844,51.502042,10,3,13,10,0,404
"Gloucester Road Station, South Kensington",-0.18267,51.494185,1,14,15,1,0,405
"Sun Street, Liverpool Street",-0.083935,51.520009,1,23,24,1,0,408
"Strata, Elephant & Castle",-0.099828,51.493146,32,9,41,30,2,409
"Edgware Road Station, Marylebone",-0.169774,51.519968,12,52,64,11,1,410
"Rotherhithe Roundabout, Rotherhithe",-0.055846,51.499169,19,0,19,17,2,411
"Cleaver Street, Kennington",-0.110121,51.488105,17,0,17,17,0,412
"Chelsea Bridge, Pimlico",-0.149004,51.485821,5,10,15,5,0,419
"Southwark Station 1, Southwark",-0.105312,51.504043,11,26,37,11,0,420
"Southwark Station 2, Southwark",-0.104778,51.504044,6,39,45,6,0,421
"Eaton Square (South), Belgravia",-0.153933,51.494561,24,7,31,24,0,423
"Ebury Bridge, Pimlico",-0.149186,51.490491,16,13,29,16,0,424
"Vincent Street, Pimlico",-0.129925,51.493072,9,8,17,9,0,426
"Cheapside, Bank",-0.09294,51.51397,1,42,43,1,0,427
"Exhibition Road, Knightsbridge",-0.174554,51.499917,1,19,20,1,0,428
"South Parade, Chelsea",-0.17524,51.48902,4,14,18,4,0,430
"Crinan Street, King's Cross",-0.122203,51.534474,10,10,20,10,0,431
"Exhibition Road Museums 1, South Kensington",-0.173796,51.496468,0,13,13,0,0,432
"Wren Street, Holborn",-0.116279,51.524564,13,20,33,12,1,433
"Kennington Station, Kennington",-0.105593,51.488852,14,9,23,13,1,435
"Red Lion Street, Holborn",-0.11655,51.51824,1,35,36,1,0,436
"Vauxhall Walk, Vauxhall",-0.120903,51.488124,26,1,27,26,0,437
"Killick Street, King's Cross",-0.118677,51.5338,22,0,22,22,0,439
"Kennington Oval, Oval",-0.113134,51.483145,24,9,33,21,3,440
"Sail Street, Vauxhall",-0.114605,51.495656,24,0,24,24,0,441
"Walmer Road, Avondale",-0.211358,51.510101,24,0,24,24,0,442
"Philpot Street, Whitechapel",-0.058641,51.515256,23,7,30,21,2,443
"Bethnal Green Garden, Bethnal Green",-0.055312,51.52568,18,6,24,17,1,444
"Cheshire Street, Bethnal Green",-0.065076,51.52388,19,9,28,18,1,445
"York Hall, Bethnal Green",-0.055894,51.528936,8,19,27,6,2,446
"Jubilee Crescent, Cubitt Town",-0.007542,51.493381,35,19,54,35,0,447
"Fisherman's Walk West, Canary Wharf",-0.02296,51.50623,12,24,36,12,0,448
"Shadwell Station, Shadwell",-0.057159,51.511088,28,7,35,28,0,449
"Jubilee Street, Stepney",-0.053177,51.515975,22,6,28,20,2,450
"Hermitage Court, Wapping",-0.063531,51.504719,9,7,16,8,1,451
"St. Katharine's Way, Tower",-0.070542,51.505697,14,10,24,12,2,452
"Garnet Street, Shadwell",-0.055167,51.508447,16,8,24,15,1,453
"Napier Avenue, Millwall",-0.021582,51.487679,18,2,20,17,1,454
"East Ferry Road, Cubitt Town",-0.014409,51.49447,6,11,17,6,0,455
"Parkway, Camden Town",-0.144664,51.538071,30,3,33,27,3,456
"Castlehaven Road, Camden Town",-0.145393,51.542138,19,10,29,19,0,457
"Wapping Lane, Wapping",-0.057544,51.504749,23,5,28,22,1,458
"Gunmakers Lane, Old Ford",-0.03338,51.535179,16,1,17,15,1,459
"Burdett Road, Mile End",-0.029138,51.516196,21,12,33,20,1,460
"Aston Street, Stepney",-0.038775,51.516,7,19,26,6,1,461
"Bonny Street, Camden Town",-0.138853,51.541603,18,27,45,17,1,462
"Thurtle Road, Haggerston",-0.071881,51.534776,17,5,22,16,1,463
"St. Mary & St. Michael Church, Stepney",-0.052099,51.51417,15,10,25,15,0,464
"Pitfield Street North,Hoxton",-0.08249,51.53558,28,0,28,28,0,465
"Whiston Road, Haggerston",-0.076341,51.534464,15,6,21,15,0,466
"Southern Grove, Bow",-0.030556,51.523538,1,16,17,0,1,467
"Cantrell Road, Bow",-0.022694,51.521564,9,15,24,9,0,468
"Mostyn Grove, Bow",-0.025492,51.530535,12,34,46,12,0,470
"Hewison Street, Old Ford",-0.028155,51.533283,12,7,19,10,2,471
"Malmesbury Road, Bow",-0.027616,51.529452,17,4,21,17,0,472
"Millharbour, Millwall",-0.019355,51.496137,17,2,19,17,0,473
"Gascoyne Road, Victoria Park",-0.038557,51.541515,12,8,20,12,0,474
"Lightermans Road, Millwall",-0.020157,51.499041,10,21,31,8,2,475
"Stebondale Street, Cubitt Town",-0.009205,51.489096,28,1,29,26,2,476
"Spindrift Avenue, Millwall",-0.018716,51.49109,36,0,36,35,1,477
"Stepney Green Station, Stepney",-0.04667,51.521889,7,14,21,5,2,478
"Pott Street, Bethnal Green",-0.058005,51.527152,7,13,20,6,1,479
"Flamborough Street, Limehouse",-0.038986,51.512871,23,2,25,23,0,480
"Saunders Ness Road, Cubitt Town",-0.009001,51.487129,33,2,35,33,0,481
"Exhibition Road Museums 2, South Kensington",-0.173689,51.495947,0,14,14,0,0,482
"Albert Gardens, Stepney",-0.047784,51.51328,26,7,33,26,0,483
"Bromley High Street, Bow",-0.013258,51.528828,20,4,24,20,0,484
"Old Ford Road, Bethnal Green",-0.048017,51.531127,17,7,24,14,3,485
"Granby Street, Shoreditch",-0.069543,51.525645,20,17,37,20,0,486
"Canton Street, Poplar",-0.025626,51.511811,15,8,23,15,0,487
"Reardon Street, Wapping",-0.058681,51.506946,21,1,22,20,1,488
"Pennington Street, Wapping",-0.065006,51.508622,30,15,45,30,0,490
"Queen Mary's, Mile End",-0.041378,51.522507,11,34,45,11,0,491
"Maplin Street, Mile End",-0.032267,51.525501,1,38,39,1,0,492
"South Quay East, Canary Wharf",-0.016251,51.50196,7,29,36,7,0,494
"Bow Church Station, Bow",-0.018703,51.528169,19,20,39,18,1,495
"Devons Road, Bow",-0.015578,51.52512,19,20,39,19,0,496
"Merchant Street, Bow",-0.027581,51.526578,10,17,27,10,0,497
"Bow Road Station, Bow",-0.025296,51.527058,14,28,42,14,0,498
"Furze Green, Bow",-0.021345,51.519265,25,11,36,24,1,499
"Ansell House, Stepney",-0.05438,51.520019,15,26,41,15,0,500
"Cephas Street, Bethnal Green",-0.054883,51.522561,16,8,24,16,0,501
"Bonner Gate, Victoria Park",-0.049591,51.53341,19,2,21,19,0,502
"Cleveland Way, Stepney",-0.051394,51.520893,16,20,36,13,3,503
"St. John's Park, Cubitt Town",-0.009506,51.496454,7,23,30,7,0,504
"Ackroyd Drive, Bow",-0.026768,51.520398,13,16,29,13,0,505
"Bell Lane, Liverpool Street",-0.075855,51.517475,2,21,23,2,0,506
"Clarkson Street, Bethnal Green",-0.059091,51.528692,15,16,31,15,0,507
"Fournier Street, Whitechapel",-0.074431,51.519362,1,17,18,1,0,508
"Fore Street, Guildhall",-0.090075,51.517842,1,18,19,1,0,509
"Westferry DLR, Limehouse",-0.025996,51.509303,12,29,41,12,0,510
"Sutton Street, Shadwell",-0.053558,51.511066,14,19,33,14,0,511
"Pritchard's Road, Bethnal Green",-0.06142,51.532091,29,1,30,29,0,512
"Watney Market, Stepney",-0.055656,51.514222,2,49,51,2,0,513
"Portman Square, Marylebone",-0.155525,51.516204,1,16,17,0,1,514
"Russell Gardens, Olympia",-0.211316,51.500088,10,14,24,10,0,515
"Chrisp Street Market, Poplar",-0.014438,51.5112,17,1,18,16,1,516
"Ford Road, Old Ford",-0.033085,51.532513,14,4,18,10,4,517
"Antill Road, Mile End",-0.037471,51.528224,15,15,30,12,3,518
"Teviot Street, Poplar",-0.011662,51.518811,19,14,33,18,1,519
"Bancroft Road, Bethnal Green",-0.047218,51.526041,19,2,21,19,0,520
"Driffield Road, Old Ford",-0.037366,51.534137,19,0,19,17,2,521
"Clinton Road, Mile End",-0.036017,51.525941,29,7,36,27,2,522
"Langdon Park, Poplar",-0.013475,51.51549,23,1,24,22,1,523
"Lancaster Gate , Bayswater",-0.179668,51.511654,13,25,38,12,1,524
"Blythe Road, Olympia",-0.2135,51.496927,13,11,24,12,1,525
"Lancaster Drive, Blackwall",-0.008428,51.503143,5,22,27,5,0,526
"Hansard Mews, Holland Park",-0.215808,51.503802,20,0,20,20,0,527
"Clarges Street, Mayfair",-0.145827,51.507326,0,16,16,0,0,528
"Manresa Road, Chelsea",-0.170983,51.486892,17,1,18,17,0,529
"Newby Place, Poplar",-0.012413,51.508896,16,2,18,15,1,530
"Twig Folly Bridge, Mile End",-0.042744,51.530326,15,6,21,15,0,531
"Jubilee Plaza, Canary Wharf",-0.020242,51.5034,30,33,63,30,0,532
"Wellington Row, Bethnal Green",-0.069743,51.528222,33,0,33,33,0,533
"Goldsmith's Row, Haggerston",-0.066035,51.531864,27,0,27,24,3,534
"Gloucester Avenue, Camden Town",-0.147154,51.537349,10,14,24,7,3,535
"Queensbridge Road, Haggerston",-0.06992,51.53385,13,22,35,13,0,536
"Old Montague Street, Whitechapel",-0.067937,51.51793,10,8,18,9,1,537
"Naval Row, Blackwall",-0.00699,51.508981,20,1,21,19,1,538
"Hoxton Station, Hoxton",-0.075901,51.531091,4,18,22,2,2,539
"Albany Street, The Regent's Park",-0.144466,51.528302,20,7,27,19,1,540
"Green Park Station, Mayfair",-0.142844,51.506613,2,26,28,2,0,541
"Salmon Lane, Limehouse",-0.033828,51.514115,21,12,33,19,2,542
"Lansdowne Walk, Ladbroke Grove",-0.204666,51.509591,2,19,21,1,1,543
"Percival Street, Finsbury",-0.102208,51.526153,19,3,22,19,0,544
"Arlington Road, Camden Town",-0.145246,51.539957,19,5,24,19,0,545
"New Fetter Lane, Holborn",-0.107987,51.517428,0,21,21,0,0,546
"East India DLR, Blackwall",-0.002275,51.509474,13,38,51,13,0,547
"Westminster Bridge Road, Elephant & Castle",-0.107913,51.498386,20,6,26,20,0,548
"Gaywood  Street, Elephant & Castle",-0.104193,51.49605,45,0,45,45,0,549
"Harford Street, Mile End",-0.039264,51.521564,23,0,23,22,1,550
"Import Dock, Canary Wharf",-0.01646,51.505772,11,28,39,11,0,551
"Watney Street, Shadwell",-0.056667,51.511542,25,2,27,25,0,552
"Regent's Row , Haggerston",-0.062546,51.535678,21,3,24,21,0,553
"Aberfeldy Street, Poplar",-0.005659,51.513548,12,4,16,10,2,554
"Heron Quays DLR, Canary Wharf",-0.021596,51.502661,14,13,27,14,0,556
"King Edward Street, St Pauls",-0.0985,51.51601,0,20,20,0,0,557
"Page Street, Westminster",-0.127554,51.493978,2,22,24,2,0,558
"Abbotsbury Road, Holland Park",-0.205991,51.501391,7,17,24,7,0,559
"Ladbroke Grove Central, Ladbroke Grove",-0.205921,51.511624,3,18,21,3,0,560
"Rectory Square, Stepney",-0.043371,51.518369,10,12,22,8,2,561
"Bury Place, Holborn",-0.12335,51.51746,0,21,21,0,0,562
"Preston's Road, Cubitt Town",-0.009152,51.499286,19,7,26,16,3,563
"Somerset House, Strand",-0.117619,51.509943,15,26,41,15,0,564
"Selby Street, Whitechapel",-0.063386,51.521905,8,9,17,8,0,565
"Westfield Ariel Way, White City",-0.224103,51.509158,29,13,42,28,1,566
"Bishop's Bridge Road West, Bayswater",-0.18697,51.51616,18,0,18,16,2,568
"Pitfield Street Central, Hoxton",-0.08299,51.53213,25,5,30,25,0,569
"Upper Bank Street, Canary Wharf",-0.017676,51.503083,12,24,36,11,1,570
"Westfield Southern Terrace ,Shepherd's Bush",-0.218337,51.506256,26,3,29,26,0,571
"Greenland Road, Camden Town",-0.141728,51.539099,34,2,36,34,0,572
"Limerston Street, West Chelsea",-0.18119,51.485587,16,2,18,15,1,573
"Eagle Wharf Road, Hoxton",-0.09315,51.53356,45,0,45,45,0,574
"Alpha Grove, Millwall",-0.022793,51.497304,11,12,23,10,1,576
"Globe Town Market, Bethnal Green",-0.047548,51.528869,9,11,20,9,0,577
"Hollybush Gardens, Bethnal Green",-0.057133,51.527607,15,17,32,15,0,578
"Queen Street 2, Bank",-0.093051,51.511246,0,36,36,0,0,579
"Doddington Grove, Kennington",-0.102996,51.486929,19,17,36,18,1,580
"New Cavendish Street, Marylebone",-0.147983,51.519167,1,17,18,1,0,581
"Abingdon Green, Westminster",-0.125972,51.49764,5,15,20,4,1,583
"Ilchester Gardens, Bayswater",-0.19096,51.51244,5,16,21,5,0,584
"Mudchute DLR, Cubitt Town",-0.014582,51.490645,11,20,31,10,1,586
"Monument Street, Monument",-0.08497,51.50964,0,22,22,0,0,587
"Hoxton Street, Hoxton",-0.0801,51.52959,19,8,27,19,0,588
"Drayton Gardens, West Chelsea",-0.179369,51.487196,9,9,18,9,0,589
"Greenberry Street, St.John's Wood",-0.16862,51.53256,6,20,26,5,1,590
"Bishop's Bridge Road East, Bayswater",-0.18377,51.5171,16,4,20,15,1,592
"Northdown Street, King's Cross",-0.11934,51.531066,13,8,21,13,0,593
"Kingsway Southbound, Strand",-0.117774,51.513875,1,32,33,1,0,594
"Hammersmith Road, Hammersmith",-0.21985,51.493267,21,1,22,20,1,595
"Parson's Green , Parson's Green",-0.199783,51.472817,12,9,21,10,2,596
"Fulham Park Road, Fulham",-0.20782,51.473471,17,10,27,14,3,597
"Southerton Road, Hammersmith",-0.228188,51.494499,37,1,38,36,1,598
"Manbre Road, Hammersmith",-0.223616,51.485743,24,4,28,24,0,599
"South Lambeth Road, Vauxhall",-0.124642,51.481747,18,3,21,17,1,600
"BBC White City, White City",-0.225787,51.514767,18,18,36,18,0,601
"Union Grove, Wandsworth Road",-0.133972,51.472993,29,16,45,29,0,602
"Caldwell Street, Stockwell",-0.116493,51.477839,38,6,44,34,4,603
"St Martins Close, Camden Town",-0.138535,51.538792,6,12,18,5,1,604
"Seymour Place, Marylebone",-0.163667,51.520331,29,0,29,28,1,605
"Addison Road, Holland Park",-0.210941,51.504199,12,14,26,11,1,606
"Putney Bridge Station, Fulham",-0.210279,51.468814,10,11,21,10,0,607
"Colet Gardens, Hammersmith",-0.216493,51.491093,28,2,30,28,0,608
"Sugden Road, Clapham",-0.157788,51.465123,17,2,19,15,2,609
"Danvers Street, West Chelsea",-0.172078,51.482567,10,11,21,10,0,610
"Princedale Road , Holland Park",-0.208486,51.506465,9,11,20,9,0,611
"Wandsworth Rd, Isley Court, Wandsworth Road",-0.141812,51.469259,29,1,30,29,0,612
"Woodstock Grove, Shepherd's Bush",-0.2174,51.504038,23,1,24,23,0,613
"London Fields, Hackney Central",-0.058826,51.54119,19,2,21,19,0,614
"Finlay Street, Fulham",-0.215895,51.476885,24,0,24,21,3,615
"Aintree Street, Fulham",-0.209973,51.481021,24,0,24,24,0,616
"Elysium Place, Fulham",-0.207842,51.471079,13,8,21,13,0,617
"Eel Brook Common, Walham Green",-0.193254,51.476259,24,0,24,24,0,618
"Irene Road, Parsons Green",-0.19701,51.473763,43,0,43,42,1,619
"Surrey Lane, Battersea",-0.16716,51.47518,28,0,28,27,1,620
"Wandsworth Town Station, Wandsworth",-0.187427,51.460864,15,18,33,13,2,621
"Lansdowne Road, Ladbroke Grove",-0.205535,51.507481,1,28,29,1,0,622
"Nantes Close, Wandsworth",-0.180791,51.46193,6,16,22,6,0,623
"Courland Grove, Wandsworth Road",-0.132102,51.472918,21,19,40,20,1,624
"Queen's Circus, Battersea Park",-0.149551,51.477619,28,0,28,27,1,625
"Normand Park, West Kensington",-0.204815,51.484386,24,0,24,21,3,626
"Holden Street, Battersea",-0.15823,51.46879,17,3,20,17,0,627
"William Morris Way, Sands End",-0.184318,51.468819,14,12,26,13,1,628
"Morie Street, Wandsworth",-0.190184,51.459953,28,0,28,28,0,629
"Clarence Walk, Stockwell",-0.126994,51.470732,15,13,28,14,1,630
"Battersea Park Road, Nine Elms",-0.14177,51.479501,17,10,27,17,0,631
"Sheepcote Lane, Battersea",-0.163041,51.470538,23,5,28,23,0,632
"Vereker Road, West Kensington",-0.209378,51.489591,19,13,32,18,1,633
"Brook Green South, Brook Green",-0.215804,51.494347,20,13,33,19,1,634
"Greyhound Road, Hammersmith",-0.214428,51.486062,19,17,36,19,0,635
"South Park, Sands End",-0.193502,51.467064,19,9,28,18,1,636
"Spencer Park, Wandsworth Common",-0.174691,51.45787,13,12,25,12,1,637
"Falcon Road, Clapham Junction",-0.169821,51.466633,28,0,28,26,2,638
"Silverthorne Road, Battersea",-0.148059,51.472865,28,0,28,28,0,640
"Archbishop's Park, Waterloo",-0.117495,51.498241,16,7,23,16,0,641
"Fawcett Close, Battersea",-0.174485,51.469161,27,9,36,26,1,642
"All Saints' Road, Portobello",-0.204764,51.519042,9,13,22,7,2,643
"Rainville Road, Hammersmith",-0.223852,51.483732,24,12,36,23,1,644
"Great Suffolk Street, The Borough",-0.100292,51.501732,21,0,21,20,1,645
"Buckingham Gate, Westminster",-0.137424,51.498865,1,15,16,1,0,646
"Richmond Way, Shepherd's Bush",-0.217515,51.500353,21,6,27,21,0,647
"Peterborough Road, Sands End",-0.196274,51.46904,30,0,30,30,0,648
"World's End Place, West Chelsea",-0.180274,51.481805,22,0,22,22,0,649
"St. Mark's Road, North Kensington",-0.213872,51.51687,20,1,21,19,1,650
"Thorndike Close, West Chelsea",-0.183853,51.480898,23,2,25,23,0,651
"Evesham Street, Avondale",-0.21819,51.511486,25,4,29,25,0,652
"Simpson Street, Clapham Junction",-0.170703,51.470847,23,2,25,21,2,653
"Ashmole Estate, Oval",-0.117661,51.482678,28,6,34,27,1,654
"Crabtree Lane, Fulham",-0.219346,51.482944,17,10,27,17,0,655
"Broomhouse Lane, Parsons Green",-0.199135,51.468418,24,5,29,24,0,656
"Blythe Road West, Shepherd's Bush",-0.221791,51.49968,21,0,21,20,1,657
"Ethelburga Estate, Battersea Park",-0.164786,51.477292,25,5,30,25,0,658
"Blackfriars Station, St. Paul's",-0.103078,51.511934,0,35,35,0,0,659
"West Kensington Station, West Kensington",-0.206029,51.49087,17,5,22,16,1,660
"All Saints Church, Portobello",-0.202608,51.51632,15,22,37,12,3,661
"Phene Street, Chelsea",-0.167919,51.484984,21,3,24,21,0,662
"Clarendon Road, Avondale",-0.211593,51.51323,21,3,24,20,1,663
"Austin Road, Battersea Park",-0.155442,51.474376,24,0,24,24,0,664
"Smugglers Way, Wandsworth",-0.191722,51.461083,21,1,22,21,0,665
"Harris Academy, Bermondsey",-0.07235,51.492668,10,8,18,10,0,666
"Shepherd's Bush Road North, Shepherd's Bush",-0.222293,51.501594,33,1,34,33,0,667
"Ravenscourt Park Station, Hammersmith",-0.236769,51.494223,26,0,26,24,2,668
"Teversham Lane, Stockwell",-0.123258,51.476149,39,0,39,39,0,669
"Ashley Crescent, Battersea",-0.152248,51.467185,24,4,28,24,0,670
"Parsons Green Station, Parsons Green",-0.201968,51.475089,20,36,56,20,0,671
"Chicheley Street, South Bank",-0.116747,51.502698,23,1,24,22,1,672
"Hibbert Street, Battersea",-0.180389,51.46517,25,11,36,24,1,673
"Carnegie Street, King's Cross",-0.116191,51.535467,29,11,40,29,0,674
"Usk Road, Clapham Junction",-0.182126,51.463489,14,16,30,13,1,675
"Hartington Road, Stockwell",-0.126874,51.47787,31,4,35,31,0,676
"Heath Road, Battersea",-0.146544,51.468669,22,5,27,22,0,677
"Esmond Street, Putney",-0.211468,51.462312,26,4,30,24,2,678
"Orbel Street, Battersea",-0.17021,51.474535,18,8,26,17,1,679
"Westbridge Road, Battersea",-0.170329,51.477684,16,12,28,15,1,680
"Bishop's Avenue, Fulham",-0.214749,51.473036,22,24,46,19,3,681
"Crisp Road, Hammersmith",-0.226606,51.488108,39,7,46,38,1,682
"Dorothy Road, Clapham Junction",-0.16375,51.465064,28,0,28,28,0,683
"Neville Gill Close, Wandsworth",-0.195197,51.454752,31,1,32,29,2,684
"Osiers Road, Wandsworth",-0.198735,51.46067,29,1,30,27,2,685
"Beryl Road, Hammersmith",-0.222456,51.488144,23,3,26,23,0,686
"Clements Road, Bermondsey",-0.061698,51.4954,15,8,23,14,1,687
"Northfields, Wandsworth",-0.200667,51.460951,9,19,28,8,1,688
"Spanish Road, Clapham Junction",-0.180884,51.459225,20,10,30,20,0,689
"Stanley Grove, Battersea",-0.15213,51.470475,12,12,24,11,1,690
"Erin Close, Walham Green",-0.195777,51.479463,20,4,24,20,0,691
"Cadogan Close, Victoria Park",-0.028941,51.542118,2,20,22,1,1,692
"Felsham Road, Putney",-0.215618,51.464786,16,2,18,16,0,693
"Putney Rail Station, Putney",-0.216526,51.460717,17,3,20,17,0,694
"Islington Green, Angel",-0.102757,51.536384,14,7,21,13,1,695
"Charing Cross Hospital, Hammersmith",-0.217995,51.487285,6,15,21,6,0,696
"Charlotte Terrace, Angel",-0.112721,51.536392,21,4,25,18,3,697
"Shoreditch Court, Haggerston",-0.070329,51.539083,16,19,35,14,2,698
"Belford House, Haggerston",-0.07023,51.536654,11,28,39,10,1,699
"Battersea Church Road, Battersea",-0.174347,51.476964,6,19,25,5,1,700
"Vicarage Crescent, Battersea",-0.176267,51.472876,13,17,30,12,1,701
"Durant Street, Bethnal Green",-0.06555,51.528681,24,0,24,21,3,702
"St. Bride Street, Holborn",-0.105344,51.515059,0,25,25,0,0,703
"Mexfield Road, East Putney",-0.202802,51.45682,3,15,18,2,1,704
"Upper Richmond Road, Putney",-0.212145,51.459715,10,15,25,10,0,705
"Snowsfields, London Bridge",-0.083632,51.502153,3,28,31,2,1,706
"Barons Court Station, West Kensington",-0.215087,51.490217,1,31,32,1,0,707
"Disraeli Road, Putney",-0.216145,51.46161,15,18,33,15,0,708
"Montserrat Road , Putney",-0.21555,51.463211,9,14,23,9,0,709
"Albert Bridge Road, Battersea Park",-0.163347,51.474392,19,1,20,19,0,710
"Everington Street, Fulham",-0.216305,51.483356,20,11,31,20,0,711
"Mile End Stadium, Mile End",-0.034903,51.518541,12,10,22,12,0,712
"Hawley Crescent, Camden Town",-0.14326,51.541007,20,2,22,20,0,713
"Stewart's Road, Wandsworth Road",-0.137235,51.473116,15,13,28,15,0,714
"Aylward Street, Stepney",-0.049067,51.51563,20,2,22,20,0,715
"Stainsby Road , Poplar",-0.023565,51.515427,19,5,24,17,2,716
"Dunston Road , Haggerston",-0.075885,51.536585,37,6,43,37,0,717
"Ada Street, Hackney Central",-0.060291,51.535716,22,23,45,22,0,718
"Victoria Park Road, Hackney Central",-0.054162,51.536424,30,4,34,29,1,719
"Star Road, West Kensington",-0.205279,51.487244,20,3,23,19,1,720
"Wendon Street, Old Ford",-0.026262,51.536039,6,12,18,5,1,721
"Finnis Street, Bethnal Green",-0.058631,51.524583,10,9,19,10,0,722
"Stephendale Road, Sands End",-0.190346,51.46822,16,32,48,15,1,723
"Alma Road, Wandsworth",-0.184806,51.457991,27,1,28,26,1,724
"Walworth Square, Walworth",-0.096518,51.491327,22,2,24,22,0,725
"Alfreda Street, Battersea Park",-0.150908,51.47505,21,1,22,21,0,726
"Putney Bridge Road, East Putney",-0.20624,51.461999,4,25,29,4,0,728
"St. Peter's Terrace, Fulham",-0.208485,51.478939,24,0,24,24,0,729
"Bridge Avenue, Hammersmith",-0.229116,51.492084,18,0,18,18,0,730
"Michael Road, Walham Green",-0.18921,51.477276,36,1,37,35,1,731
"Duke Street Hill, London Bridge",-0.087262,51.506304,3,18,21,2,1,732
"Park Lane, Mayfair",-0.150817,51.505426,0,18,18,0,0,733
"Plough Terrace, Clapham Junction",-0.175407,51.462305,23,8,31,20,3,734
"Grant Road East, Clapham Junction",-0.173029,51.464894,28,0,28,28,0,735
"Queensdale Road, Shepherd's Bush",-0.216104,51.50659,18,10,28,18,0,736
"Fulham Broadway, Walham Green",-0.194116,51.479932,26,0,26,25,1,737
"Imperial Road, Sands End",-0.187278,51.475142,12,25,37,11,1,738
"Hortensia Road, West Brompton",-0.185273,51.481765,26,2,28,26,0,739
"Sirdar Road, Avondale",-0.214594,51.510928,14,12,26,14,0,740
"Freston Road, Avondale",-0.219486,51.512981,22,1,23,21,1,741
"Blenheim Crescent, Ladbroke Grove",-0.208565,51.515108,21,1,22,20,1,742
"Oxford Road, Putney",-0.212607,51.460792,24,5,29,24,0,743
"Ingrave Street, Clapham Junction",-0.172293,51.467454,30,0,30,30,0,744
"Upcerne Road, West Chelsea",-0.182435,51.478169,23,6,29,23,0,745
"Lots Road, West Chelsea",-0.179038,51.479573,19,5,24,18,1,746
"Ormonde Gate, Chelsea",-0.161765,51.487964,19,5,24,19,0,747
"Hertford Road, De Beauvoir Town",-0.079201,51.537277,24,1,25,23,1,748
"Haggerston Road, Haggerston",-0.074284,51.539328,35,2,37,35,0,749
"Culvert Road, Battersea",-0.15785,51.471095,25,2,27,24,1,750
"Newton Street, Covent Garden",-0.120909,51.516128,1,23,24,1,0,751
"London Street, Paddington",-0.173712,51.515117,16,3,19,15,1,752
"Grenfell Road, Avondale",-0.214762,51.5129,16,8,24,16,0,754
"The Vale, Chelsea",-0.174971,51.485121,24,0,24,24,0,755
"Prince of Wales Drive, Battersea Park",-0.159169,51.475153,21,0,21,18,3,756
"Harcourt Terrace, West Brompton",-0.187404,51.487958,24,0,24,24,0,757
"Westbourne Park Road, Portobello",-0.201005,51.51787,19,4,23,17,2,758
"Broadley Terrace, Marylebone",-0.165668,51.524561,13,5,18,13,0,759
"Humbolt Road, Fulham",-0.21186,51.483217,26,0,26,23,3,761
"Storey's Gate, Westminster",-0.129698,51.500703,5,16,21,5,0,762
"Mile End Park Leisure Centre, Mile End",-0.032566,51.520597,6,41,47,4,2,763
"St. John's Road, Clapham Junction",-0.168292,51.462392,33,0,33,32,1,764
"Ranelagh Gardens, Fulham",-0.206827,51.467601,28,11,39,27,1,765
"Ram Street, Wandsworth",-0.192165,51.457529,23,2,25,23,0,766
"Santos Road, Wandsworth",-0.200806,51.457059,3,27,30,2,1,767
"Clapham Common North Side, Clapham Common",-0.159322,51.461343,37,0,37,35,2,768
"Sandilands Road, Walham Green",-0.191803,51.473611,21,0,21,20,1,769
"Gwendwr Road, West Kensington",-0.209121,51.491026,19,11,30,19,0,770
"Rifle Place, Avondale",-0.216016,51.509224,21,0,21,21,0,771
"Binfield Road, Stockwell",-0.122831,51.472509,35,0,35,34,1,772
"Tallis Street, Temple",-0.107349,51.511891,0,24,24,0,0,773
"Hurlingham Park, Parsons Green",-0.20464,51.470131,18,2,20,18,0,774
